framework,dataset,phase,elapsed_seconds,max_rss_kb,cpu_user_s,cpu_sys_s,avg_cpu_util,avg_mem_used_mb,avg_dsk_read_kbps,avg_dsk_writ_kbps,avg_net_recv_kbps,avg_net_send_kbps
hadoop,email-EuAll,distribution,3.65,296132.0,4.07,0.5,15.586200000000005,1677.1359375,4.1476,1.3152,14.8,10.8
hadoop,email-EuAll,indegree,4.87,462076.0,4.96,0.58,15.295000000000002,1759.2936197916667,101.75633333333333,1.0976666666666668,12.333333333333334,9.0
hadoop,soc-LiveJournal1,distribution,18.95,723192.0,18.68,1.82,15.258649999999989,1918.0673828125,0.8852,5.9902999999999995,,
hadoop,soc-LiveJournal1,indegree,360.27,2053488.0,244.78,11.93,10.547436464088392,2810.2175953901933,0.1446850828729282,6.4987569060773485,1.138121546961326,0.861878453038674
hadoop,web-BerkStan,distribution,5.28,543716.0,9.41,0.78,20.98185714285715,1755.6791294642858,2.922285714285714,1.223,10.571428571428571,7.714285714285714
hadoop,web-BerkStan,indegree,23.69,1314520.0,21.93,1.8,14.007440000000003,2441.37015625,0.8268800000000001,2.34272,14.8,10.8
spark,email-EuAll,job,11.9,391308.0,20.72,2.24,30.22,1715.8349609375,106.86,0.0,0.09,0.01
spark,soc-LiveJournal1,job,217.72,761504.0,152.17,19.37,88.62,2721.0234375,1997.73,0.0,0.09,0.01
spark,web-BerkStan,job,19.24,464260.0,19.65,1.81,36.47,1786.2529296875,52.0,0.0,0.11,0.01
